,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,إدارة البيانات والإحصاء,,,
,,,,فحص اللياقة الطبية لتأشيرات الإقامة 2024,,,
,,,,Examination of Medical Fitness for Residency Visa 2024,,,
,,,,"من خلال مراكز الطباعة
Typing Centers","من خلال الموقع الإلكتروني 
Website","المجموع
Total","الشهر 
Month"
,,,,"79,669","24,772","104,441",Jan
,,,,"72,838","26,026","98,864",Feb
,,,,"56,479","44,103","100,582",Mar
,,,,"41,957","37,833","79,790",Apr
,,,,"53,655","53,760","107,415",May
,,,,"44,979","41,225","86,204",Jun
,,,,"50,028","50,283","100,311",Jul
,,,,"46,361","44,076","90,437",Aug
,,,,"50,563","51,711","102,274",Sep
,,,,"64,883","74,439","139,322",Oct
,,,,"57,775","66,602","124,377",Nov
,,,,"57,741","73,285","131,026",Dec
,,,,"676,928","588,115","1,265,043","إجمالي 
Total
 "
